text,label
"I absolutely loved this film, it was amazing!",1
"Terrible movie, complete waste of my time",0
"The acting was superb and the story kept me engaged",1
"Boring and predictable, I fell asleep halfway through",0
"One of the best experiences I have had in years",1
"Dreadful. I want my two hours back",0
"Funny, heartwarming and beautifully shot",1
"The plot made no sense and the dialogue was painful",0
"A masterpiece of modern cinema",1
"Poorly written, poorly acted, poorly directed",0
"I laughed, I cried, I loved every minute",1
"Disappointing from start to finish",0
"Incredible performances all around",1
"A confusing mess with no satisfying conclusion",0
"This movie restored my faith in storytelling",1
"Unwatchable. Turned it off after twenty minutes",0
"Charming, clever, and surprisingly moving",1
"The worst film I have seen in a decade",0
"Absolutely brilliant in every way",1
"Dull, lifeless, and forgettable",0
"A delightful surprise from beginning to end",1
"I cannot believe how bad this was",0
"Stunning visuals and a gripping narrative",1
"Tedious and overlong with no redeeming qualities",0
"Left the theater feeling uplifted and inspired",1
"A painfully average film that squanders its potential",0
"Witty writing and a stellar cast make this a must-see",1
"Save yourself the trouble and skip this one",0
"An emotional rollercoaster in the best possible way",1
"Flat characters and a recycled story",0
